name	electrode_name	type	units	sampling_frequency	stream_id	gain
CH1	e000	n/a	V	30000.0	ElectricalSeries	1.949999928474426e-07
CH2	e001	n/a	V	30000.0	ElectricalSeries	1.949999928474426e-07
CH3	e002	n/a	V	30000.0	ElectricalSeries	1.949999928474426e-07
CH4	e003	n/a	V	30000.0	ElectricalSeries	1.949999928474426e-07
CH5	e004	n/a	V	30000.0	ElectricalSeries	1.949999928474426e-07
CH6	e005	n/a	V	30000.0	ElectricalSeries	1.949999928474426e-07
CH7	e006	n/a	V	30000.0	ElectricalSeries	1.949999928474426e-07
CH8	e007	n/a	V	30000.0	ElectricalSeries	1.949999928474426e-07
